Partida,CapÌtulo,Programa,SubtÌtulo,Item,AsignaciÛn,DenominaciÛn,Monto Pesos,Monto DÛlar
2,1,1,31,2,,Proyectos,641133,0
2,2,1,8,,,OTROS INGRESOS CORRIENTES,161721,0
2,2,1,8,1,,Recuperaciones y Reembolsos por Licencias MÈdicas,107814,0
2,2,1,8,99,,Otros,53907,0
2,2,1,9,,,APORTE FISCAL,61652576,0
2,2,1,9,1,,Libre,61652576,0
2,2,1,21,,,GASTOS EN PERSONAL,31401039,0
2,2,1,22,,,BIENES Y SERVICIOS DE CONSUMO,6651342,0
2,2,1,23,,,PRESTACIONES DE SEGURIDAD SOCIAL,404830,0
2,2,1,23,1,,Prestaciones Previsionales,404830,0
2,2,1,24,,,TRANSFERENCIAS CORRIENTES,21816544,0
2,2,1,24,3,,A Otras Entidades P˙blicas,21788382,0
2,2,1,24,3,1,Personal Apoyo Labor Parlamentaria,8155700,0
2,2,1,24,3,2,AsesorÌa Externa Labor Parlamentaria,3232031,0
2,2,1,24,3,3,Gastos Operacionales Labor Parlamentaria,8179713,0
2,2,1,24,3,4,Personal Apoyo ComitÈs,1287742,0
2,2,1,24,3,5,AsesorÌa Externa ComitÈs,404004,0
2,2,1,24,3,6,Gastos Operacionales ComitÈs,32320,0
2,2,1,24,3,7,Otras Transferencias,496872,0
2,2,1,24,7,,A Organismos Internacionales,28162,0
2,2,1,24,7,2,Organismos Internacionales,28162,0
2,2,1,29,,,ADQUISICI”N DE ACTIVOS NO FINANCIEROS,844075,0
2,2,1,29,3,,VehÌculos,16892,0
2,2,1,29,4,,Mobiliario y Otros,8127,0
2,2,1,29,5,,M·quinas y Equipos,47689,0
2,2,1,29,6,,Equipos Inform·ticos,701121,0
2,2,1,29,7,,Programas Inform·ticos,70246,0
2,2,1,31,,,INICIATIVAS DE INVERSI”N,696467,0
2,2,1,31,2,,Proyectos,696467,0
2,3,1,7,,,INGRESOS DE OPERACI”N,4706,0
2,3,1,7,2,,Venta de Servicios,4706,0
2,3,1,8,,,OTROS INGRESOS CORRIENTES,71177,0
2,3,1,8,1,,Recuperaciones y Reembolsos por Licencias MÈdicas,71177,0
2,3,1,9,,,APORTE FISCAL,11140984,0
2,3,1,9,1,,Libre,10983617,0
2,3,1,9,3,,Servicio de la Deuda Externa,157367,0
2,3,1,12,,,RECUPERACI”N DE PRESTAMOS,106,0
2,3,1,12,10,,Ingresos por Percibir,106,0
2,3,1,21,,,GASTOS EN PERSONAL,8831540,0
2,3,1,22,,,BIENES Y SERVICIOS DE CONSUMO,1678760,0
2,3,1,23,,,PRESTACIONES DE SEGURIDAD SOCIAL,81074,0
2,3,1,23,1,,Prestaciones Previsionales,81074,0
2,3,1,24,,,TRANSFERENCIAS CORRIENTES,120276,0
2,3,1,24,3,,A Otras Entidades P˙blicas,120276,0
2,3,1,24,3,1,Programa FormaciÛn CÌvica,120276,0
2,3,1,29,,,ADQUISICI”N DE ACTIVOS NO FINANCIEROS,279655,0
2,3,1,29,2,,Edificios,34809,0
2,3,1,29,4,,Mobiliario y Otros,10815,0
2,3,1,29,5,,M·quinas y Equipos,12360,0
2,3,1,29,6,,Equipos Inform·ticos,72100,0
2,3,1,29,7,,Programas Inform·ticos,149571,0
2,3,1,31,,,INICIATIVAS DE INVERSI”N,68301,0
2,3,1,31,2,,Proyectos,68301,0
2,3,1,34,,,SERVICIO DE LA DEUDA,157367,0
2,3,1,34,2,,AmortizaciÛn Deuda Externa,139079,0
2,3,1,34,4,,Intereses Deuda Externa,18288,0
2,4,1,9,,,APORTE FISCAL,934152,0
2,4,1,9,1,,Libre,934152,0
2,4,1,21,,,GASTOS EN PERSONAL,850508,0
2,4,1,22,,,BIENES Y SERVICIOS DE CONSUMO,83644,0
3,1,1,8,,,OTROS INGRESOS CORRIENTES,6378597,0
3,1,1,8,1,,Recuperaciones y Reembolsos por Licencias MÈdicas,6378597,0
3,1,1,9,,,APORTE FISCAL,292610868,0
3,1,1,9,1,,Libre,292610868,0
3,1,1,21,,,GASTOS EN PERSONAL,298989465,0
3,1,2,9,,,APORTE FISCAL,11745118,0
3,1,2,9,1,,Libre,11745118,0
3,1,2,21,,,GASTOS EN PERSONAL,11745118,0
3,3,1,6,,,RENTAS DE LA PROPIEDAD,111289,0
3,3,1,6,1,,Arriendo de Activos No Financieros,111289,0
3,3,1,7,,,INGRESOS DE OPERACI”N,115922,0
3,3,1,7,2,,Venta de Servicios,115922,0
3,3,1,8,,,OTROS INGRESOS CORRIENTES,4233059,0
3,3,1,8,99,,Otros,4233059,0
3,3,1,9,,,APORTE FISCAL,107350656,0
3,3,1,9,1,,Libre,107350656,0
3,3,1,12,,,RECUPERACI”N DE PRESTAMOS,225757,0
3,3,1,12,7,,Por Anticipos por Cambio de Residencia,225757,0
3,3,1,21,,,GASTOS EN PERSONAL,10915505,0
3,3,1,22,,,BIENES Y SERVICIOS DE CONSUMO,63523239,0
3,3,1,23,,,PRESTACIONES DE SEGURIDAD SOCIAL,3908437,0
3,3,1,23,1,,Prestaciones Previsionales,3908437,0
3,3,1,24,,,TRANSFERENCIAS CORRIENTES,5327368,0
3,3,1,24,1,,Al Sector Privado,130020,0
3,3,1,24,1,2,Becas Postgrado,130020,0
3,3,1,24,2,,Al Gobierno Central,5197348,0
3,3,1,24,2,1,Programa de CoordinaciÛn Reforma Judicial,5197348,0
3,3,1,29,,,ADQUISICI”N DE ACTIVOS NO FINANCIEROS,5430120,0
3,3,1,29,3,,VehÌculos,394387,0
3,3,1,29,4,,Mobiliario y Otros,385694,0
3,3,1,29,5,,M·quinas y Equipos,2827255,0
3,3,1,29,6,,Equipos Inform·ticos,857282,0
3,3,1,29,7,,Programas Inform·ticos,965502,0
3,3,1,31,,,INICIATIVAS DE INVERSI”N,22706257,0
3,3,1,31,2,,Proyectos,22706257,0
3,3,1,32,,,PR…STAMOS,225757,0
3,3,1,32,7,,Por Anticipos por Cambio de Residencia,225757,0
3,3,2,9,,,APORTE FISCAL,744643,0
3,3,2,9,1,,Libre,112552,0
3,3,2,9,3,,Servicio de la Deuda Externa,632091,0
3,3,2,14,,,ENDEUDAMIENTO,933063,0
3,3,2,14,2,,Endeudamiento Externo,933063,0
3,3,2,22,,,BIENES Y SERVICIOS DE CONSUMO,699535,0
3,3,2,29,,,ADQUISICI”N DE ACTIVOS NO FINANCIEROS,346080,0
3,3,2,29,7,,Programas Inform·ticos,346080,0
3,3,2,34,,,SERVICIO DE LA DEUDA,632091,0
3,3,2,34,2,,AmortizaciÛn Deuda Externa,584704,0
3,3,2,34,4,,Intereses Deuda Externa,47387,0
3,4,1,8,,,OTROS INGRESOS CORRIENTES,761,0
3,4,1,8,1,,Recuperaciones y Reembolsos por Licencias MÈdicas,761,0
3,4,1,9,,,APORTE FISCAL,3347822,0
3,4,1,9,1,,Libre,3347822,0
3,4,1,21,,,GASTOS EN PERSONAL,756437,0
3,4,1,22,,,BIENES Y SERVICIOS DE CONSUMO,460110,0
3,4,1,24,,,TRANSFERENCIAS CORRIENTES,2017422,0
3,4,1,24,1,,Al Sector Privado,2017422,0
3,4,1,24,1,17,Programa de FormaciÛn,700008,0
3,4,1,24,1,18,Programa de Perfeccionamiento,1107091,0
3,4,1,24,1,19,Programa de HabilitaciÛn,108444,0
3,4,1,24,1,20,Programa  de Perfeccionamiento Extraordinario,101879,0
3,4,1,29,,,ADQUISICI”N DE ACTIVOS NO FINANCIEROS,9217,0
3,4,1,29,4,,Mobiliario y Otros,2178,0
3,4,1,29,6,,Equipos Inform·ticos,7039,0
3,4,1,31,,,INICIATIVAS DE INVERSI”N,105397,0
3,4,1,31,2,,Proyectos,105397,0
4,1,1,7,,,INGRESOS DE OPERACI”N,10333,0
4,1,1,7,1,,Venta de Bienes,10333,0
4,1,1,8,,,OTROS INGRESOS CORRIENTES,1179563,0
4,1,1,8,1,,Recuperaciones y Reembolsos por Licencias MÈdicas,751510,0
4,1,1,8,99,,Otros,428053,0
4,1,1,9,,,APORTE FISCAL,65967361,0
4,1,1,9,1,,Libre,65214774,0
4,1,1,9,3,,Servicio de la Deuda Externa,752587,0
4,1,1,10,,,VENTA DE ACTIVOS NO FINANCIEROS,32433,0
4,1,1,10,3,,VehÌculos,30992,0
4,1,1,10,4,,Mobiliario y Otros,10,0
4,1,1,10,5,,M·quinas y Equipos,1421,0
4,1,1,10,99,,Otros Activos no Financieros,10,0
4,1,1,12,,,RECUPERACI”N DE PRESTAMOS,121444,0
4,1,1,12,10,,Ingresos por Percibir,121444,0
4,1,1,21,,,GASTOS EN PERSONAL,48709133,0
4,1,1,22,,,BIENES Y SERVICIOS DE CONSUMO,9007485,0
4,1,1,24,,,TRANSFERENCIAS CORRIENTES,20099,0
4,1,1,24,1,,Al Sector Privado,13464,0
4,1,1,24,1,6,Otras Transferencias,13464,0
4,1,1,24,7,,A Organismos Internacionales,6635,0
4,1,1,24,7,2,A Organismos Internacionales,6635,0
4,1,1,25,,,INTEGROS AL FISCO,8103,0
4,1,1,25,1,,Impuestos,8103,0
4,1,1,29,,,ADQUISICI”N DE ACTIVOS NO FINANCIEROS,3410045,0
4,1,1,29,3,,VehÌculos,41387,0
4,1,1,29,4,,Mobiliario y Otros,5562,0
4,1,1,29,5,,M·quinas y Equipos,76454,0
4,1,1,29,6,,Equipos Inform·ticos,650184,0
4,1,1,29,7,,Programas Inform·ticos,2636458,0
4,1,1,31,,,INICIATIVAS DE INVERSI”N,5403682,0
4,1,1,31,2,,Proyectos,5403682,0
4,1,1,34,,,SERVICIO DE LA DEUDA,752587,0
4,1,1,34,2,,AmortizaciÛn Deuda Externa,581663,0
4,1,1,34,4,,Intereses Deuda Externa,170924,0
5,2,1,5,,,TRANSFERENCIAS CORRIENTES,10,0
5,2,1,5,1,,Del Sector Privado,10,0
5,2,1,5,1,1,Donaciones,10,0
5,2,1,8,,,OTROS INGRESOS CORRIENTES,170910,0
5,2,1,8,1,,Recuperaciones y Reembolsos por Licencias MÈdicas,155318,0
5,2,1,8,99,,Otros,15592,0
5,2,1,9,,,APORTE FISCAL,65883628,0
5,2,1,9,1,,Libre,65883628,0
5,2,1,15,,,SALDO INICIAL DE CAJA,10,0
5,2,1,21,,,GASTOS EN PERSONAL,26703569,0
5,2,1,22,,,BIENES Y SERVICIOS DE CONSUMO,6109346,0
5,2,1,23,,,PRESTACIONES DE SEGURIDAD SOCIAL,10,0
5,2,1,23,1,,Prestaciones Previsionales,10,0
5,2,1,24,,,TRANSFERENCIAS CORRIENTES,7427203,0
5,2,1,24,1,,Al Sector Privado,10,0
5,2,1,24,1,33,Fondo de Solidaridad Nacional,10,0
5,2,1,24,3,,A Otras Entidades P˙blicas,7427193,0
5,2,1,24,3,11,Ley de RÈgimen  Interior,10,0
5,2,1,24,3,12,AdministraciÛn de Complejos Fronterizos,6101034,0
5,2,1,24,3,800,"Programa de CoordinaciÛn, Orden P˙blico y GestiÛn Territorial",1326149,0
5,2,1,29,,,ADQUISICI”N DE ACTIVOS NO FINANCIEROS,529658,0
5,2,1,29,3,,VehÌculos,180721,0
5,2,1,29,4,,Mobiliario y Otros,114815,0
5,2,1,29,5,,M·quinas y Equipos,193406,0
5,2,1,29,6,,Equipos Inform·ticos,27892,0
5,2,1,29,7,,Programas Inform·ticos,12824,0
5,2,1,31,,,INICIATIVAS DE INVERSI”N,11988335,0
5,2,1,31,2,,Proyectos,11988335,0
5,2,1,32,,,PR…STAMOS,10,0
5,2,1,32,7,,Por Anticipos por Cambio de Residencia,10,0
5,2,1,33,,,TRANSFERENCIAS DE CAPITAL,13296407,0
5,2,1,33,2,,Al Gobierno Central,10206407,0
5,2,1,33,2,2,Gobierno Regional RegiÛn Metropolitana de Santiago,8867407,0
5,2,1,33,2,20,Gobierno Regional RegiÛn de Los RÌos,1339000,0
5,2,1,33,3,,A Otras Entidades P˙blicas,3090000,0
5,2,1,33,3,2,Programa MitigaciÛn de Riesgo,3090000,0
5,2,1,34,,,SERVICIO DE LA DEUDA,10,0
5,2,1,34,7,,Deuda Flotante,10,0
5,2,1,35,,,SALDO FINAL DE CAJA,10,0
5,3,1,6,,,RENTAS DE LA PROPIEDAD,5113,0
5,3,1,7,,,INGRESOS DE OPERACI”N,67,0
5,3,1,8,,,OTROS INGRESOS CORRIENTES,31655,0
5,3,1,8,1,,Recuperaciones y Reembolsos por Licencias MÈdicas,26608,0
5,3,1,8,99,,Otros,5047,0
5,3,1,9,,,APORTE FISCAL,8925017,0
5,3,1,9,1,,Libre,8925017,0
5,3,1,10,,,VENTA DE ACTIVOS NO FINANCIEROS,6216,0
5,3,1,10,3,,VehÌculos,4841,0
5,3,1,10,4,,Mobiliario y Otros,1375,0
5,3,1,15,,,SALDO INICIAL DE CAJA,10,0
5,3,1,21,,,GASTOS EN PERSONAL,5313193,0
5,3,1,22,,,BIENES Y SERVICIOS DE CONSUMO,3568402,0
5,3,1,25,,,INTEGROS AL FISCO,10,0
5,3,1,25,1,,Impuestos,10,0
5,3,1,29,,,ADQUISICI”N DE ACTIVOS NO FINANCIEROS,86453,0
5,3,1,29,3,,VehÌculos,39873,0
5,3,1,29,4,,Mobiliario y Otros,21347,0
5,3,1,29,5,,M·quinas y Equipos,9705,0
5,3,1,29,6,,Equipos Inform·ticos,15528,0
5,3,1,34,,,SERVICIO DE LA DEUDA,10,0
5,3,1,34,7,,Deuda Flotante,10,0
5,3,1,35,,,SALDO FINAL DE CAJA,10,0
5,4,1,8,,,OTROS INGRESOS CORRIENTES,20875,0
5,4,1,8,1,,Recuperaciones y Reembolsos por Licencias MÈdicas,11518,0
5,4,1,8,99,,Otros,9357,0
5,4,1,9,,,APORTE FISCAL,13705568,0
5,4,1,9,1,,Libre,13705568,0
5,4,1,15,,,SALDO INICIAL DE CAJA,10,0
5,4,1,21,,,GASTOS EN PERSONAL,5532194,0
5,4,1,22,,,BIENES Y SERVICIOS DE CONSUMO,3667558,0
5,4,1,24,,,TRANSFERENCIAS CORRIENTES,2602713,0
5,4,1,24,1,,Al Sector Privado,173710,0
5,4,1,24,1,41,Al Sector Privado,173710,0
5,4,1,24,3,,A Otras Entidades P˙blicas,2429003,0
5,4,1,24,3,17,CapacitaciÛn en ProtecciÛn Civil,179309,0
5,4,1,24,3,18,Universidad de Chile - Red SismolÛgica,2249694,0
5,4,1,29,,,ADQUISICI”N DE ACTIVOS NO FINANCIEROS,1208172,0
5,4,1,29,4,,Mobiliario y Otros,23021,0
5,4,1,29,5,,M·quinas y Equipos,528518,0
5,4,1,29,6,,Equipos Inform·ticos,202529,0
5,4,1,29,7,,Programas Inform·ticos,454104,0
5,4,1,31,,,INICIATIVAS DE INVERSI”N,715796,0
5,4,1,31,2,,Proyectos,715796,0
5,4,1,34,,,SERVICIO DE LA DEUDA,10,0
5,4,1,34,7,,Deuda Flotante,10,0
5,4,1,35,,,SALDO FINAL DE CAJA,10,0
5,5,1,8,,,OTROS INGRESOS CORRIENTES,52010,0
5,5,1,8,1,,Recuperaciones y Reembolsos por Licencias MÈdicas,51000,0
5,5,1,8,99,,Otros,1010,0
5,5,1,9,,,APORTE FISCAL,57011403,0
5,5,1,9,1,,Libre,16596892,0
5,5,1,9,3,,Servicio de la Deuda Externa,40414511,0
5,5,1,10,,,VENTA DE ACTIVOS NO FINANCIEROS,6180,0
5,5,1,10,3,,VehÌculos,6180,0
5,5,1,13,,,TRANSFERENCIAS PARA GASTOS DE CAPITAL,73879,0
5,5,1,13,6,,De Gobiernos Extranjeros,73879,0
5,5,1,13,6,1,Del Gobierno EspaÒol - Instituto de CrÈdito Oficial de EspaÒa,73879,0
5,5,1,15,,,SALDO INICIAL DE CAJA,1000,0
5,5,1,21,,,GASTOS EN PERSONAL,11159725,0
5,5,1,22,,,BIENES Y SERVICIOS DE CONSUMO,3064961,0
5,5,1,24,,,TRANSFERENCIAS CORRIENTES,507806,0
5,5,1,24,2,,Al Gobierno Central,211437,0
5,5,1,24,2,5,"A la DirecciÛn de Bibliotecas, Archivos y Museos",211437,0
5,5,1,24,3,,A Otras Entidades P˙blicas,296369,0
5,5,1,24,3,24,CapacitaciÛn en Desarrollo Regional y Comunal,10,0
5,5,1,24,3,409,Oficina RevitalizaciÛn de Barrios e Infraestructura Patrimonial,222480,0
5,5,1,24,3,415,Oficina DonaciÛn EspaÒola,73879,0
5,5,1,29,,,ADQUISICI”N DE ACTIVOS NO FINANCIEROS,699729,0
5,5,1,29,3,,VehÌculos,46778,0
5,5,1,29,5,,M·quinas y Equipos,17510,0
5,5,1,29,6,,Equipos Inform·ticos,271988,0
5,5,1,29,7,,Programas Inform·ticos,363453,0
5,5,1,33,,,TRANSFERENCIAS DE CAPITAL,1295740,0
5,5,1,33,2,,Al Gobierno Central,1295740,0
5,5,1,33,2,16,Al Consejo Nacional de la Cultura y las Artes,1295740,0
5,5,1,34,,,SERVICIO DE LA DEUDA,40415511,0
5,5,1,34,2,,AmortizaciÛn Deuda Externa,34312616,0
5,5,1,34,4,,Intereses Deuda Externa,6101895,0
5,5,1,34,7,,Deuda Flotante,1000,0
5,5,1,35,,,SALDO FINAL DE CAJA,1000,0
5,5,2,9,,,APORTE FISCAL,10368341,0
5,5,2,9,1,,Libre,10368341,0
5,5,2,15,,,SALDO INICIAL DE CAJA,2000,0
5,5,2,24,,,TRANSFERENCIAS CORRIENTES,8742487,0
5,5,2,24,3,,A Otras Entidades P˙blicas,8742487,0
5,5,2,24,3,26,Programa Academia CapacitaciÛn Municipal y Regional,5087248,0
5,5,2,24,3,29,Municipalidades,1902738,0
5,5,2,24,3,31,Programa de Apoyo a la AcreditaciÛn de Calidad de Servicios Municipales,224688,0
5,5,2,24,3,32,Programa de Mejoramiento de la GestiÛn Municipal,1527813,0
5,5,2,33,,,TRANSFERENCIAS DE CAPITAL,1625854,0
5,5,2,33,3,,A Otras Entidades P˙blicas,1625854,0
5,5,2,33,3,16,Municipalidades - Sistema InformaciÛn Financiera Municipal,1625854,0
5,5,2,34,,,SERVICIO DE LA DEUDA,1000,0
5,5,2,34,7,,Deuda Flotante,1000,0
5,5,2,35,,,SALDO FINAL DE CAJA,1000,0
5,5,3,9,,,APORTE FISCAL,183631070,0
5,5,3,9,1,,Libre,183631070,0
5,5,3,13,,,TRANSFERENCIAS PARA GASTOS DE CAPITAL,36562743,0
5,5,3,13,2,,Del Gobierno Central,34505000,0
5,5,3,13,2,6,SubsecretarÌa de EducaciÛn,34505000,0
5,5,3,13,6,,De Gobiernos Extranjeros,2057743,0
5,5,3,13,6,1,Del Gobierno EspaÒol - Instituto de CrÈdito Oficial de EspaÒa,2057743,0
5,5,3,15,,,SALDO INICIAL DE CAJA,2000,0
5,5,3,24,,,TRANSFERENCIAS CORRIENTES,60778336,0
5,5,3,24,3,,A Otras Entidades P˙blicas,60778336,0
5,5,3,24,3,403,Municipalidades (CompensaciÛn por Predios Exentos),57199856,0
5,5,3,24,3,406,Municipalidades (Programa EsterilizaciÛn y AtenciÛn Sanitaria de Animales de CompaÒia),3063480,0
5,5,3,24,3,500,Municipalidades (PrevenciÛn y MitigaciÛn de Riesgos),515000,0
5,5,3,32,,,PR…STAMOS,16260806,0
5,5,3,32,4,,De Fomento,16260806,0
5,5,3,32,4,2,Municipalidades,16260806,0
5,5,3,33,,,TRANSFERENCIAS DE CAPITAL,143154671,0
5,5,3,33,3,,A Otras Entidades P˙blicas,143154671,0
5,5,3,33,3,5,Municipalidades (Programa de Mejoramiento Urbano y Equipamiento Comunal),65201696,0
5,5,3,33,3,6,Municipalidades (Programa Mejoramiento de Barrios),27734538,0
5,5,3,33,3,100,Municipalidades (Fondo RecuperaciÛn de Ciudades),27140384,0
5,5,3,33,3,110,Municipalidades (Fondo de Incentivo al Mejoramiento de la GestiÛn Municipal),15458310,0
5,5,3,33,3,111,Municipalidades (Programa RevitalizaciÛn de Barrios e Infraestructura Patrimonial Emblem·tica),5562000,0
5,5,3,33,3,112,Municipalidades (DonaciÛn EspaÒola),2057743,0
5,5,3,34,,,SERVICIO DE LA DEUDA,1000,0
5,5,3,34,7,,Deuda Flotante,1000,0
5,5,3,35,,,SALDO FINAL DE CAJA,1000,0
5,5,5,9,,,APORTE FISCAL,100841716,0
5,5,5,9,1,,Libre,100841716,0
5,5,5,13,,,TRANSFERENCIAS PARA GASTOS DE CAPITAL,280888677,0
5,5,5,13,2,,Del Gobierno Central,280888677,0
5,5,5,13,2,6,SubsecretarÌa de EducaciÛn,50705678,0
5,5,5,13,2,80,Tesoro P˙blico Ley N∞20.378 - Fondo de Apoyo Regional (FAR),227319599,0
5,5,5,13,2,81,SubsecretarÌa de EnergÌa - Programa 04,2863400,0
5,5,5,14,,,ENDEUDAMIENTO,12525880,0
5,5,5,14,2,,Endeudamiento Externo,12525880,0
5,5,5,15,,,SALDO INICIAL DE CAJA,1000,0
5,5,5,33,,,TRANSFERENCIAS DE CAPITAL,394256273,0
5,5,5,33,2,,Al Gobierno Central,234440035,0
5,5,5,33,2,1,Programa InversiÛn Regional RegiÛn I,9199024,0
5,5,5,33,2,2,Programa InversiÛn Regional RegiÛn II,14331962,0
5,5,5,33,2,3,Programa InversiÛn Regional RegiÛn III,9892322,0
5,5,5,33,2,4,Programa InversiÛn Regional RegiÛn IV,16286736,0
5,5,5,33,2,5,Programa InversiÛn Regional RegiÛn V,18741633,0
5,5,5,33,2,6,Programa InversiÛn Regional RegiÛn VI,10803815,0
5,5,5,33,2,7,Programa InversiÛn Regional RegiÛn VII,18481053,0
5,5,5,33,2,8,Programa InversiÛn Regional RegiÛn VIII,27054844,0
5,5,5,33,2,9,Programa InversiÛn Regional RegiÛn  IX,23726464,0
5,5,5,33,2,10,Programa InversiÛn Regional RegiÛn X,25271694,0
5,5,5,33,2,11,Programa InversiÛn Regional RegiÛn XI,9428160,0
5,5,5,33,2,12,Programa InversiÛn Regional RegiÛn XII,9133769,0
5,5,5,33,2,13,Programa InversiÛn Regional RegiÛn Metropolitana,23789874,0
5,5,5,33,2,14,Programa InversiÛn Regional RegiÛn XIV,9904834,0
5,5,5,33,2,15,Programa InversiÛn Regional RegiÛn XV,8393851,0
5,5,5,33,3,,A Otras Entidades P˙blicas,159816238,0
5,5,5,33,3,1,ProvisiÛn Fondo Nacional de Desarrollo Regional,43516954,0
5,5,5,33,3,17,ProvisiÛn Programa Infraestructura Rural,3790851,0
5,5,5,33,3,21,ProvisiÛn Puesta en Valor del Patrimonio,13884710,0
5,5,5,33,3,25,ProvisiÛn de Apoyo a la GestiÛn Subnacional,4844853,0
5,5,5,33,3,130,ProvisiÛn Saneamiento Sanitario,7469560,0
5,5,5,33,3,190,ProvisiÛn Programa Residuos SÛlidos,5173282,0
5,5,5,33,3,418,ProvisiÛn Ley N∞20.378 - Fondo de Apoyo Regional (FAR),55040776,0
5,5,5,33,3,421,ProvisiÛn RegularizaciÛn Mayores Ingresos Propios,9676016,0
5,5,5,33,3,426,ProvisiÛn EnergizaciÛn,10754236,0
5,5,5,33,3,429,ProvisiÛn RecuperaciÛn DaÒos por Cat·strofes,5665000,0
5,5,5,35,,,SALDO FINAL DE CAJA,1000,0
5,5,6,9,,,APORTE FISCAL,126134418,0
5,5,6,9,1,,Libre,126134418,0
5,5,6,15,,,SALDO INICIAL DE CAJA,1000,0
5,5,6,33,,,TRANSFERENCIAS DE CAPITAL,126134418,0
5,5,6,33,2,,Al Gobierno Central,29672678,0
5,5,6,33,2,8,Programa InversiÛn Regional RegiÛn VIII,4388943,0
5,5,6,33,2,9,Programa InversiÛn Regional RegiÛn  IX,18623240,0
5,5,6,33,2,10,Programa InversiÛn Regional RegiÛn X,3182700,0
5,5,6,33,2,15,Programa InversiÛn Regional RegiÛn XV,3477795,0
5,5,6,33,3,,A Otras Entidades P˙blicas,96461740,0
5,5,6,33,3,427,ProvisiÛn Regiones Extremas,87750000,0
5,5,6,33,3,428,ProvisiÛn Territorios Rezagados,8711740,0
5,5,6,35,,,SALDO FINAL DE CAJA,1000,0
5,7,1,8,,,OTROS INGRESOS CORRIENTES,26002,0
5,7,1,8,1,,Recuperaciones y Reembolsos por Licencias MÈdicas,24972,0
5,7,1,8,99,,Otros,1030,0
5,7,1,9,,,APORTE FISCAL,5457595,0
5,7,1,9,1,,Libre,5457595,0
5,7,1,21,,,GASTOS EN PERSONAL,4000978,0
5,7,1,22,,,BIENES Y SERVICIOS DE CONSUMO,1124722,0
5,7,1,29,,,ADQUISICI”N DE ACTIVOS NO FINANCIEROS,357897,0
5,7,1,29,2,,Edificios,289917,0
5,7,1,29,3,,VehÌculos,17675,0
